channel_id,tier,wd_item,wd_class,label,country,reason,alt_of
UC2rJLq19N0dGrxfib80M_fg,0,,,Hollywood Life,US,newsguard_validated,
UC2rLSYDm92QMytS9yIkT8UQ,0,,,FOX 4 Now,US,newsguard_validated,
UC2uoE98n7Pj-JJ2ilrRTp2A,0,,,Galesburg Register-Mail,,newsguard_validated,
UC2xLESFeytXO0j7pgVBf7fg,0,,,NBC Montana,,newsguard_validated,
UC30cxSTun8we1NuyNsQVcnQ,0,,,Howtodofor. com,,newsguard_validated,
UC33C9zjblykxVeO8mK05vWQ,0,Q108063889,mass media|news media|news website|newspaper,The Desert Review,US,newsguard_validated,
UC33oSUhJ4ZyRhXkERjt3HNw,0,,,Miami New Times,,newsguard_validated,
UC33o_RcCkVvQe6ct-aASJ1A,0,,,Journal Métro,CA,newsguard_validated,
UC36umLEHbPUS-lpucrXPcGQ,0,Q20720631,magazine|mass media|news media|news website|newspaper|online newspaper,Hong Kong Free Press,HK,newsguard_validated,
UC37i4KfSL6zkBF-n2dH6t-A,0,Q55668394,newspaper,Rome Sentinel Company,United States,newsguard_validated,
UC37mjSymr-ckeJJQInaCf0Q,0,,,Genesius Times,US,newsguard_validated,
UC38l1n6mIvpFNGWdtuv_N6A,0,Q7956874,television station,Louisiana First News,US,newsguard_validated,
UC3AWPKuSdMoJm_gWjyHc6yQ,0,,,Riverine Herald,,newsguard_validated,
UC3CR9r7koQTTAlZBr5oOo-A,0,,,Spektrum der Wissenschaft,DE,newsguard_validated,
UC3FPy4hb6A_0IkT0WVfxeQA,0,,,Autism Speaks,,newsguard_validated,
UC3H52GV5a5imEOw5hfiLX_g,0,,,Cape Gazette,,newsguard_validated,
UC3OHnLVkEKjfr43EIVvSWhg,0,,,MobileSyrup,CA,newsguard_validated,
UC3Oth1k-NUhCqLNhlKQYpog,0,,,CBS19 News Charlottesville News First,US,newsguard_validated,
UC3Pr6t2BL5rGxq8dGuOuJQw,0,,,The Daily Gazette,,newsguard_validated,
UC3QqoP-y3WG6NZEZPjGGEjA,0,,,Cheline TV,UA,newsguard_validated,
UC3UBF_16dd2UncCoR0lCgKQ,0,,,American Dental Association (ADA),US,newsguard_validated,
UC3UxJWrUACd2Hk4dMAQKOyw,0,,,WYFF News 4,,newsguard_validated,
UC3X-UJGNkd9N7lMFn1cMwUg,0,,,TerrafeminaTV,FR,newsguard_validated,
UC3ZumQAsKhQIdvOgVVVG4lA,0,,,The Dogwood,US,newsguard_validated,
UC3_RBc0M3JuT-d9fvGhM-rQ,0,,,The Midland Reporter-Telegram,,newsguard_validated,
UC3a7d38LEegdjJJWKSm11CQ,0,,,Loveworld TV UK,GB,newsguard_validated,
UC3bHsedO3Es_56I5E8r4XFA,0,,,The Lever,US,newsguard_validated,
UC3bg914-oEx24i_yDMTCuvg,0,,,Eunews,,newsguard_validated,
UC3e_wXVOLhkxenVqxQ8MBtA,0,,,TelebariWeb,IT,newsguard_validated,
