channel_id,label,wd_item,wd_class,country,language,tier_reason
UCCPvLUrjzOd3bNBMdBryv_w,Nos Cogió La Noche,Q141387507,mass media|news media|news website,Colombia,Spanish,topic+title
UCCV5Z2DEYnUGIY_mO-AcQKw,I gryanul Grem,Q114240144,mass media|news media,,Russian,topic
UCChMBgirwM2nnT3Bbe8METQ,Now News,Q10851945,mass media|news media|television channel,,,topic+title
UCD9r4xLAK7hdlrqGB2lb2yg,Alroeya,Q107105628,newspaper,,Arabic,topic
UCDCJyLpbfgeVE9iZiEam-Kg,CTS News Information Channel,Q5014619,mass media|news media|television channel|television station,Taiwan,,topic
UCDGfqLmr_WTJlWdI4ih2eDg,Middle East News Agency,Q2410136,mass media|media company|news agency|news media,Egypt,Arabic,topic
UCDIbFDqt1o6YuRzGEsNRnCQ,Razvorot,Q125025428,mass media|media company|news media,,Russian,topic
UCDR2gVFmKy9xRU09ibm5S0A,Newsroom,Q48795745,mass media|news media|news website,New Zealand,,topic+title
UCDfNrxA5dMp0co1siQOLrjg,Catholic News Service,Q5053212,mass media|media company|news agency|news media,United States,,topic+title
UCDjrRSCW1qGlivzKOAFYr_w,Osservatorio Balcani e Caucaso Transeuropa,Q22442821,mass media|news media|news website|newspaper|online newspaper,Italy,,topic+title
UCDuSNexflm9nFKXLeMlqN2Q,Strana.ua,Q30889269,mass media|news media|news website|newspaper|online newspaper,Ukraine,,topic+title
UCDvIeLuH5wmndQ55cXeKtXw,Fakir,Q3064698,newspaper,France,French,topic+title
UCE5eUQGzxg7KtLuKCmyq9pw,Novye Izvestia,Q2377626,mass media|news media|news website|newspaper|online newspaper,Russia,Russian,topic
UCEC4D0dTTJr_EEnEJz15hnQ,News Channel 24,Q4030314|Q97961177,mass media|news media|news website|newspaper|online newspaper|television channel,Ukraine,Russian,topic+title
UCEJf5cGtkBdZS8Jh2uSW9xw,stirileprotv.ro,Q138856184,mass media|news media|news website,Romania,Romanian,topic
UCEOTRMgfd7uXZD6goFTQP6A,Pulzo,Q62129644,mass media|news media|news website|newspaper|online newspaper,Colombia,Spanish,topic+title
UCER4rvDnRBPr_ncYW4UCZjg,tvOne,Q3476210,mass media|news media|television station,Indonesia,,topic
UCESBL3qcbb9jLw7jq9gh4nQ,The i Paper,Q1943651,newspaper,United Kingdom,British English,topic+title
UCEW1QlFX_ito4gd3QXxyt5Q,Minfin.com.ua,Q115860978,mass media|news media|news website|newspaper|online newspaper,Ukraine,Russian,topic
UCEeRjPTPfBfAZhBBIgtUo8g,Q12697551,Q12697551,newspaper,Malaysia,Malay,topic
UCEfC_TEr_nmbCcVeDHUgzjg,Sovetskaya Belorussiya – Belarus' Segodnya,Q2991208,mass media|news media|newspaper,Belarus,Russian,topic
UCEl68IGjU5vJtNO5rjE1gJA,aktiv,Q294279,newspaper,,German,topic+title
UCEn99hD6NygfFa5W8MW0M0A,Wired Italia,Q65125387,magazine|mass media|newspaper,Italy,Italian,topic+title
UCEwKMXfktjqfaT9JoPB6r-A,The Better India,Q60740702,mass media|news media|news website,India,Hindi,topic+title
UCExcZNwh_3Mwm4fF4VSiu2w,Nieuwsuur,Q1836627,mass media|news media,,,topic+title
UCF2Z3n9P_WUDi9TDFHys9SQ,BusinessTech,Q111187198,mass media|news media|news website|newspaper|online newspaper,,,topic+title
UCF4Wxdo3inmxP-Y59wXDsFw,MBC Newsdesk,Q6495373,mass media|news media|news program,,Korean,topic
UCF6nSR3lD_4dVGa8U8TBsCg,PMG.ua,Q137286278,mass media|media company|news agency|news media|news website|newspaper|online newspaper,Ukraine,Ukrainian,topic+title
UCFCf--dLooq56qFM5KPmKfg,Shimbun Akahata,Q1186339,magazine|mass media|newspaper,Japan,Japanese,topic
UCFCfp_c4SVNrJz_6qem7NyQ,Q124288843,Q124288843,magazine|mass media|newspaper,Netherlands,Dutch,topic
UCFFuMGTQXLitNuiU4SIe5vQ,Quds News Network,Q76537273,mass media|media company|news agency|news media,Palestine,English,topic
UCFOUiyLVI2kLq8SMLECB7Pw,Good News From Indonesia,Q135580006,mass media|news media|newspaper,Indonesia,American English,topic+title
UCFRkqOONCkI5jJ3oYFzJjvA,The New Voice of Ukraine,Q20093911,magazine|mass media|news media|news website|newspaper|online newspaper,Ukraine,English,topic
UCFTS8s8mOgz-Qb-UvB7fYqQ,Svobodnaya Pressa,Q4411093,mass media|news media|news website|newspaper|online newspaper,Russia,Russian,topic
UCFacsR8uPA4zjc883Hwrvng,Brighton and Hove News,Q122624545,mass media|news media|news website,United Kingdom,English,topic+title
UCFb-u3ISt99gxZ9TxIQW7UA,DVTV,Q16946930,mass media|news media|television channel,Czech Republic,Czech,topic+title
UCFi6KzfbvhTQH1LGzLYStFw,Cyrustimes,Q139827156,mass media|news media|news website|newspaper|online newspaper,Indonesia,Indonesian,topic+title
UCFnfs1hbd4oJXcEsQe4EYrw,Hunterbrook,Q125522218,newspaper,,,topic+title
UCFt4-ryWu3wYbKOkwY1yiTw,Efimerida ton Syntakton,Q20638209,newspaper,,Greek,topic
UCFufE3paIhKaXz6wIl8bQcQ,Poets & Quants,Q123239896,mass media|news media|news website,United States,English,topic+title
UCG-Et3jfinzlQql4uEYjAVw,Sveriges Television,Q215363,media company|public broadcaster,Sweden,,topic
UCG3dV-ScM6uF90sGFKMjgUQ,Q125017350,Q125017350,magazine|mass media|news media,,Russian,topic
UCG4kGP4ETdKzseQshMCCBKg,Knews,Q18109606,mass media|news media,,,topic
UCGAFtGynK5k1ZW_B0jZduMQ,The Emancipator,Q106234740,mass media|news media|news website|newspaper|online newspaper,,,topic+title
UCGFxdeUWz-NO0JuWjC2n9mA,Crític,Q20105523,mass media|news media|news website|newspaper|online newspaper,,Catalan,topic+title
UCGKYksAES1ORYtiWgEI55rQ,Medyabar,Q124759824,mass media|news media|news website|newspaper|online newspaper,Turkey,Turkish,topic+title
